Department,Text_Length,Word_Count
HR,5442,674
HR,5572,708
HR,7720,1017
HR,2855,379
HR,9172,1206
HR,5480,666
HR,5250,637
HR,9033,1106
HR,6720,796
HR,5978,716
HR,5356,679
HR,8718,1123
HR,5766,732
HR,5662,715
HR,6163,724
HR,6007,750
HR,5458,701
HR,9115,1123
HR,5220,642
HR,6287,802
HR,4938,620
HR,8512,1108
HR,11326,1510
HR,5213,628
HR,6195,757
HR,4543,612
HR,6249,798
HR,5754,706
HR,5134,643
HR,7530,941
HR,6349,794
HR,6236,776
HR,6922,906
HR,12715,1552
HR,5658,729
HR,8163,1015
HR,5406,638
HR,9383,1213
HR,5088,623
HR,6439,765
HR,5504,724
HR,5761,748
HR,6681,859
HR,6460,840
HR,6781,813
HR,4589,581
HR,7102,896
HR,8303,1102
HR,5813,659
HR,3307,421
HR,7695,913
HR,7297,917
HR,9162,1177
HR,6579,825
HR,6635,828
HR,6889,826
HR,5904,750
HR,6559,828
HR,8400,1066
HR,5305,706
HR,7652,979
HR,7975,1038
HR,5372,700
HR,5531,714
HR,5595,687
HR,6586,851
HR,5706,748
HR,7282,891
HR,5179,662
HR,5546,713
HR,5716,726
HR,5241,717
HR,5392,670
HR,5393,653
HR,5874,713
HR,5909,734
HR,5496,670
HR,6073,759
HR,8029,1065
HR,5227,686
HR,6969,914
HR,17242,2302
HR,4168,511
HR,8009,1002
HR,6527,814
HR,5446,674
HR,5202,662
HR,13958,1761
HR,5051,660
HR,13218,1652
HR,5038,648
HR,10434,1318
HR,6618,846
HR,4997,632
HR,24834,3119
HR,8226,1054
HR,9304,1197
HR,4954,641
HR,5018,683
HR,2077,254
HR,5107,647
HR,7089,910
HR,5599,720
HR,5661,676
HR,7582,919
HR,5604,665
HR,6118,807
HR,5654,716
HR,6403,760
HR,5350,661
Marketing,4633,582
Marketing,4280,565
Marketing,1990,245
Marketing,5436,755
Marketing,1974,247
Marketing,2772,362
Marketing,7133,909
Marketing,2473,315
Marketing,5095,643
Marketing,7310,940
Marketing,10603,1548
Marketing,2706,417
